# HEC-RAS Inflow Hydrograph — S3_Cascade_Failure
# Time(min)    Flow(m3/s)
      124.80            0.00
      125.40            0.00
      126.00            0.00
      126.60            0.00
      127.20            0.00
      127.80            0.00
      128.40            0.00
      129.00            0.00
      129.60            0.00
      130.20            0.00
      130.80            0.00
      131.40            0.00
      132.00            0.00
      132.60            0.00
      133.20            0.00
      133.80            0.00
      134.40            0.00
      135.00            0.00
      135.60            0.00
      136.20            0.00
      136.80            0.00
      137.40            0.00
      138.00            0.00
      138.60            0.00
      139.20            0.00
      139.80            0.00
      140.40            0.00
      141.00            0.00
      141.60            0.00
      142.20            0.00
      142.80            0.00
      143.40            0.00
      144.00            0.00
      144.60            0.00
      145.20            0.00
      145.80            0.00
      146.40            0.00
      147.00            0.00
      147.60            0.00
      148.20            0.00
      148.80            0.00
      149.40            0.00
      150.00            0.00
      150.60            0.00
      151.20            0.00
      151.80            0.00
      152.40            0.00
      153.00            0.00
      153.60            0.00
      154.20            0.00
      154.80            0.00
      155.40            0.00
      156.00            0.00
      156.60            0.00
      157.20            0.00
      157.80            0.00
      158.40            0.00
      159.00            0.00
      159.60            0.00
      160.20            0.00
      160.80            0.00
      161.40            0.00
      162.00            0.00
      162.60            0.00
      163.20            0.00
      163.80            0.00
      164.40            0.00
      165.00            0.00
      165.60            0.00
      166.20            0.00
      166.80            0.00
      167.40            0.00
      168.00            0.00
      168.60            0.00
      169.20            0.00
      169.80            0.00
      170.40            0.00
      171.00            0.00
      171.60            0.00
      172.20            0.00
      172.80            0.00
      173.40            0.00
      174.00            0.00
      174.60            0.00
      175.20            0.00
      175.80            0.00
      176.40            0.00
      177.00            0.00
      177.60            0.00
      178.20            0.00
      178.80            0.00
      179.40            0.00
      180.00            0.00
      180.60            0.00
      181.20            0.00
      181.80            0.00
      182.40            0.00
      183.00            0.00
      183.60            0.00
      184.20            0.00
      184.80            0.00
      185.40            0.00
      186.00            0.00
      186.60            0.00
      187.20            0.00
      187.80            0.00
      188.40            0.00
      189.00            0.00
      189.60            0.00
      190.20            0.00
      190.80            0.00
      191.40            0.00
      192.00            0.00
      192.60            0.00
      193.20            0.00
      193.80            0.00
      194.40            0.00
      195.00            0.00
      195.60            0.00
      196.20            0.00
      196.80            0.00
      197.40            0.00
      198.00            0.00
      198.60            0.00
      199.20            0.00
      199.80            0.00
      200.40            0.00
      201.00            0.00
      201.60            0.00
      202.20            0.00
      202.80            0.00
      203.40            0.00
      204.00            0.00
      204.60            0.00
      205.20            0.00
      205.80            0.00
      206.40            0.00
      207.00            0.00
      207.60            0.00
      208.20            0.00
      208.80            0.00
      209.40            0.00
      210.00            0.00
      210.60            0.00
      211.20            0.00
      211.80            0.00
      212.40            0.00
      213.00            0.00
      213.60            0.00
      214.20            0.00
      214.80            0.00
      215.40            0.00
      216.00            0.00
      216.60            0.00
      217.20            0.00
      217.80            0.00
      218.40            0.00
      219.00            0.00
      219.60            0.00
      220.20            0.00
      220.80            0.00
      221.40            0.00
      222.00            0.00
      222.60            0.00
      223.20            0.00
      223.80            0.00
      224.40            0.00
      225.00            0.00
      225.60            0.00
      226.20            0.00
      226.80            0.00
      227.40            0.00
      228.00            0.00
      228.60            0.00
      229.20            0.00
      229.80            0.00
      230.40            0.00
      231.00            0.00
      231.60            0.00
      232.20            0.00
      232.80            0.00
      233.40            0.00
      234.00            0.00
      234.60            0.00
      235.20            0.00
      235.80            0.00
      236.40            0.00
      237.00            0.00
      237.60            0.00
      238.20            0.00
      238.80            0.00
      239.40            0.00
      240.00            0.00
      240.60            0.00
      241.20            0.00
      241.80            0.00
      242.40            0.00
      243.00            0.00
      243.60            0.00
      244.20            0.00
      244.80            0.00
      245.40            0.00
      246.00            0.00
      246.60            0.00
      247.20            0.00
      247.80            0.00
      248.40            0.00
      249.00            0.00
      249.60            0.00
      250.20            0.00
      250.80            0.00
      251.40            0.00
      252.00            0.00
      252.60            0.00
      253.20            0.00
      253.80            0.00
      254.40            0.00
      255.00            0.00
      255.60            0.00
      256.20            0.00
      256.80            0.00
      257.40            0.00
      258.00            0.00
      258.60            0.00
      259.20            0.00
      259.80            0.00
      260.40            0.00
      261.00            0.00
      261.60            0.00
      262.20            0.00
      262.80            0.00
      263.40            0.00
      264.00            0.00
      264.60            0.00
      265.20            0.00
      265.80            0.00
      266.40            0.00
      267.00            0.00
      267.60            0.00
      268.20            0.00
      268.80            0.00
      269.40            0.00
      270.00            0.00
      270.60            0.00
      271.20            0.00
      271.80            0.00
      272.40            0.00
      273.00            0.00
      273.60            0.00
      274.20            0.00
      274.80            0.00
      275.40            0.00
      276.00            0.00
      276.60            0.00
      277.20            0.00
      277.80            0.00
      278.40            0.00
      279.00            0.00
      279.60            0.00
      280.20            0.00
      280.80            0.00
      281.40            0.00
      282.00            0.00
      282.60            0.00
      283.20            0.00
      283.80            0.00
      284.40            0.00
      285.00            0.00
      285.60            0.00
      286.20            0.00
      286.80            0.00
      287.40            0.00
      288.00            0.00
      288.60            0.00
      289.20            0.00
      289.80            0.00
      290.40            0.00
      291.00            0.00
      291.60            0.00
      292.20            0.00
      292.80            0.00
      293.40            0.00
      294.00            0.00
      294.60            0.00
      295.20            0.00
      295.80            0.00
      296.40            0.00
      297.00            0.00
      297.60            0.00
      298.20            0.00
      298.80            0.00
      299.40            0.00
      300.00            0.00
      300.60            0.00
      301.20            0.00
      301.80            0.00
      302.40            0.00
      303.00            0.00
      303.60            0.00
      304.20            0.00
      304.80            0.00
      305.40            0.00
      306.00            0.00
      306.60            0.00
      307.20            0.00
      307.80            0.00
      308.40            0.00
      309.00            0.00
      309.60            0.00
      310.20            0.00
      310.80            0.00
      311.40            0.00
      312.00            0.00
      312.60            0.00
      313.20            0.00
      313.80            0.00
      314.40            0.00
      315.00            0.00
      315.60            0.00
      316.20            0.00
      316.80            0.00
      317.40            0.00
      318.00            0.00
      318.60            0.00
      319.20            0.00
      319.80            0.00
      320.40            0.00
      321.00            0.00
      321.60            0.00
      322.20            0.00
      322.80            0.00
      323.40            0.00
      324.00            0.00
      324.60            0.00
      325.20            0.00
      325.80            0.00
      326.40            0.00
      327.00            0.00
      327.60            0.00
      328.20            0.00
      328.80            0.00
      329.40            0.00
      330.00            0.00
      330.60            0.00
      331.20            0.00
      331.80            0.00
      332.40            0.00
      333.00            0.00
      333.60            0.00
      334.20            0.00
      334.80            0.00
      335.40            0.00
      336.00            0.00
      336.60            0.00
      337.20            0.00
      337.80            0.00
      338.40            0.00
      339.00            0.00
      339.60            0.00
      340.20            0.00
      340.80            0.00
      341.40            0.00
      342.00            0.00
      342.60            0.00
      343.20            0.00
      343.80            0.00
      344.40            0.00
      345.00            0.00
      345.60            0.00
      346.20            0.00
      346.80            0.00
      347.40            0.00
      348.00            0.00
      348.60            0.00
      349.20            0.00
      349.80            0.00
      350.40            0.00
      351.00            0.00
      351.60            0.00
      352.20            0.00
      352.80            0.00
      353.40            0.00
      354.00            0.00
      354.60            0.00
      355.20            0.00
      355.80            0.00
      356.40            0.00
      357.00            0.00
      357.60            0.00
      358.20            0.00
      358.80            0.00
      359.40            0.00
      360.00            0.00
      360.60            0.00
      361.20            0.00
      361.80            0.00
      362.40            0.00
      363.00            0.00
      363.60            0.00
      364.20            0.00
      364.80            0.00
      365.40            0.00
      366.00            0.00
      366.60            0.00
      367.20            0.00
      367.80            0.00
      368.40            0.00
      369.00            0.00
      369.60            0.00
      370.20            0.00
      370.80            0.00
      371.40            0.00
      372.00            0.00
      372.60            0.00
      373.20            0.00
      373.80            0.00
      374.40            0.00
      375.00            0.00
      375.60            0.00
      376.20            0.00
      376.80            0.00
      377.40            0.00
      378.00            0.00
      378.60            0.00
      379.20            0.00
      379.80            0.00
      380.40            0.00
      381.00            0.00
      381.60            0.00
      382.20            0.00
      382.80            0.00
      383.40            0.00
      384.00            0.00
      384.60            0.00
      385.20            0.00
      385.80            0.00
      386.40            0.00
      387.00            0.00
      387.60            0.00
      388.20            0.00
      388.80            0.00
      389.40            0.00
      390.00            0.00
      390.60            0.00
      391.20            0.00
      391.80            0.00
      392.40            0.00
      393.00            0.00
      393.60            0.00
      394.20            0.00
      394.80            0.00
      395.40            0.00
      396.00            0.00
      396.60            0.00
      397.20            0.00
      397.80            0.00
      398.40            0.00
      399.00            0.00
      399.60            0.00
      400.20            0.00
      400.80            0.00
      401.40            0.00
      402.00            0.00
      402.60            0.00
      403.20            0.00
      403.80            0.00
      404.40            0.00
      405.00            0.00
      405.60            0.00
      406.20            0.00
      406.80            0.00
      407.40            0.00
      408.00            0.00
      408.60            0.00
      409.20            0.00
      409.80            0.00
      410.40            0.00
      411.00            0.00
      411.60            0.00
      412.20            0.00
      412.80            0.00
      413.40            0.00
      414.00            0.00
      414.60            0.00
      415.20            0.00
      415.80            0.00
      416.40            0.00
      417.00            0.00
      417.60            0.00
      418.20            0.00
      418.80            0.00
      419.40            0.00
      420.00            0.00
      420.60            0.00
      421.20            0.00
      421.80            0.00
      422.40            0.00
      423.00            0.00
      423.60            0.00
      424.20            0.00
      424.80            0.00
      425.40            0.00
      426.00            0.00
      426.60            0.00
      427.20            0.00
      427.80            0.00
      428.40            0.00
      429.00            0.00
      429.60            0.00
      430.20            0.00
      430.80            0.00
      431.40            0.00
      432.00            0.00
      432.60            0.00
      433.20            0.00
      433.80            0.00
      434.40            0.00
      435.00            0.00
      435.60            0.00
      436.20            0.00
      436.80            0.00
      437.40            0.00
      438.00            0.00
      438.60            0.00
      439.20            0.00
      439.80            0.00
      440.40            0.00
      441.00            0.00
      441.60            0.00
      442.20            0.00
      442.80            0.00
      443.40            0.00
      444.00            0.00
      444.60            0.00
      445.20            0.00
      445.80            0.00
      446.40            0.00
      447.00            0.00
      447.60            0.00
      448.20            0.00
      448.80            0.00
      449.40            0.00
      450.00            0.00
      450.60            0.00
      451.20            0.00
      451.80            0.00
      452.40            0.00
      453.00            0.00
      453.60            0.00
      454.20            0.00
      454.80            0.00
      455.40            0.00
      456.00            0.00
      456.60            0.00
      457.20            0.00
      457.80            0.00
      458.40            0.00
      459.00            0.00
      459.60            0.00
      460.20            0.00
      460.80            0.00
      461.40            0.00
      462.00            0.00
      462.60            0.00
      463.20            0.00
      463.80            0.00
      464.40            0.00
      465.00            0.00
      465.60            0.00
      466.20            0.00
      466.80            0.00
      467.40            0.00
      468.00            0.00
      468.60            0.00
      469.20            0.00
      469.80            0.00
      470.40            0.00
      471.00            0.00
      471.60            0.00
      472.20            0.00
      472.80            0.00
      473.40            0.00
      474.00            0.00
      474.60            0.00
      475.20            0.00
      475.80            0.00
      476.40            0.00
      477.00            0.00
      477.60            0.00
      478.20            0.00
      478.80            0.00
      479.40            0.00
      480.00            0.00
      480.60            0.00
      481.20            0.00
      481.80            0.00
      482.40            0.00
      483.00            0.00
      483.60            0.00
      484.20            0.00
      484.80            0.00
      485.40            0.00
      486.00            0.00
      486.60            0.00
      487.20            0.00
      487.80            0.00
      488.40            0.00
      489.00            0.00
      489.60            0.00
      490.20            0.00
      490.80            0.00
      491.40            0.00
      492.00            0.00
      492.60            0.00
      493.20            0.00
      493.80            0.00
      494.40            0.00
      495.00            0.00
      495.60            0.00
      496.20            0.00
      496.80            0.00
      497.40            0.00
      498.00            0.00
      498.60            0.00
      499.20            0.00
      499.80            0.00
      500.40            0.00
      501.00            0.00
      501.60            0.00
      502.20            0.00
      502.80            0.00
      503.40            0.00
      504.00            0.00
      504.60            0.00
      505.20            0.00
      505.80            0.00
      506.40            0.00
      507.00            0.00
      507.60            0.00
      508.20            0.00
      508.80            0.00
      509.40            0.00
      510.00            0.00
      510.60            0.00
      511.20            0.00
      511.80            0.00
      512.40            0.00
      513.00            0.00
      513.60            0.00
      514.20            0.00
      514.80            0.00
      515.40            0.00
      516.00            0.00
      516.60            0.00
      517.20            0.00
      517.80            0.00
      518.40            0.00
      519.00            0.00
      519.60            0.00
      520.20            0.00
      520.80            0.00
      521.40            0.00
      522.00            0.00
      522.60            0.00
      523.20            0.00
      523.80            0.00
      524.40            0.00
      525.00            0.00
      525.60            0.00
      526.20            0.00
      526.80            0.00
      527.40            0.00
      528.00            0.00
      528.60            0.00
      529.20            0.00
      529.80            0.00
      530.40            0.00
      531.00            0.00
      531.60            0.00
      532.20            0.00
      532.80            0.00
      533.40            0.00
      534.00            0.00
      534.60            0.00
      535.20            0.00
      535.80            0.00
      536.40            0.00
      537.00            0.00
      537.60            0.00
      538.20            0.00
      538.80            0.00
      539.40            0.00
      540.00            0.00
      540.60            0.00
      541.20            0.00
      541.80            0.00
      542.40            0.00
      543.00            0.00
      543.60            0.00
      544.20            0.00
      544.80            0.00
      545.40            0.00
      546.00            0.00
      546.60            0.00
      547.20            0.00
      547.80            0.00
      548.40            0.00
      549.00            0.00
      549.60            0.00
      550.20            0.00
      550.80            0.00
      551.40            0.00
      552.00            0.00
      552.60            0.00
      553.20            0.00
      553.80            0.00
      554.40            0.00
      555.00            0.00
      555.60            0.00
      556.20            0.00
      556.80            0.00
      557.40            0.00
      558.00            0.00
      558.60            0.00
      559.20            0.00
      559.80            0.00
      560.40            0.00
      561.00            0.00
      561.60            0.00
      562.20            0.00
      562.80            0.00
      563.40            0.00
      564.00            0.00
      564.60            0.00
      565.20            0.00
      565.80            0.00
      566.40            0.00
      567.00            0.00
      567.60            0.00
      568.20            0.00
      568.80            0.00
      569.40            0.00
      570.00            0.00
      570.60            0.00
      571.20            0.00
      571.80            0.00
      572.40            0.00
      573.00            0.00
      573.60            0.00
      574.20            0.00
      574.80            0.00
      575.40            0.00
      576.00            0.00
      576.60            0.00
      577.20            0.00
      577.80            0.00
      578.40            0.00
      579.00            0.00
      579.60            0.00
      580.20            0.00
      580.80            0.00
      581.40            0.00
      582.00            0.00
      582.60            0.00
      583.20            0.00
      583.80            0.00
      584.40            0.00
      585.00            0.00
      585.60            0.00
      586.20            0.00
      586.80            0.00
      587.40            0.00
      588.00            0.00
      588.60            0.00
      589.20            0.00
      589.80            0.00
      590.40            0.00
      591.00            0.00
      591.60            0.00
      592.20            0.00
      592.80            0.00
      593.40            0.00
      594.00            0.00
      594.60            0.00
      595.20            0.00
      595.80            0.00
      596.40            0.00
      597.00            0.00
      597.60            0.00
      598.20            0.00
      598.80            0.00
      599.40            0.00
      600.00            0.00
      600.60            0.00
      601.20            0.00
      601.80            0.00
      602.40            0.00
      603.00            0.00
      603.60            0.00
      604.20            0.00
      604.80            0.00
      605.40            0.00
      606.00            0.00
      606.60            0.00
      607.20            0.00
      607.80            0.00
      608.40            0.00
      609.00            0.00
      609.60            0.00
      610.20            0.00
      610.80            0.00
      611.40            0.00
      612.00            0.00
      612.60            0.00
      613.20            0.00
      613.80            0.00
      614.40            0.00
      615.00            0.00
      615.60            0.00
      616.20            0.00
      616.80            0.00
      617.40            0.00
      618.00            0.00
      618.60            0.00
      619.20            0.00
      619.80            0.00
      620.40            0.00
      621.00            0.00
      621.60            0.00
      622.20            0.00
      622.80            0.00
      623.40            0.00
      624.00            0.00
      624.60            0.00
      625.20            0.00
      625.80            0.00
      626.40            0.00
      627.00            0.00
      627.60            0.00
      628.20            0.00
      628.80            0.00
      629.40            0.00
      630.00            0.00
      630.60            0.00
      631.20            0.00
      631.80            0.00
      632.40            0.00
      633.00            0.00
      633.60            0.00
      634.20            0.00
      634.80            0.00
      635.40            0.00
      636.00            0.00
      636.60            0.00
      637.20            0.00
      637.80            0.00
      638.40            0.00
      639.00            0.00
      639.60            0.00
      640.20            0.00
      640.80            0.00
      641.40            0.00
      642.00            0.00
      642.60            0.00
      643.20            0.00
      643.80            0.00
      644.40            0.00
      645.00            0.00
      645.60            0.00
      646.20            0.00
      646.80            0.00
      647.40            0.00
      648.00            0.00
      648.60            0.00
      649.20            0.00
      649.80            0.00
      650.40            0.00
      651.00            0.00
      651.60            0.00
      652.20            0.00
      652.80            0.00
      653.40            0.00
      654.00            0.00
      654.60            0.00
      655.20            0.00
      655.80            0.00
      656.40            0.00
      657.00            0.00
      657.60            0.00
      658.20            0.00
      658.80            0.00
      659.40            0.00
      660.00            0.00
      660.60            0.00
      661.20            0.00
      661.80            0.00
      662.40            0.00
      663.00            0.00
      663.60            0.00
      664.20            0.00
      664.80            0.00
      665.40            0.00
      666.00            0.00
      666.60            0.00
      667.20            0.00
      667.80            0.00
      668.40            0.00
      669.00            0.00
      669.60            0.00
      670.20            0.00
      670.80            0.00
      671.40            0.00
      672.00            0.00
      672.60            0.00
      673.20            0.00
      673.80            0.00
      674.40            0.00
      675.00            0.00
      675.60            0.00
      676.20            0.00
      676.80            0.00
      677.40            0.00
      678.00            0.00
      678.60            0.00
      679.20            0.00
      679.80            0.00
      680.40            0.00
      681.00            0.00
      681.60            0.00
      682.20            0.00
      682.80            0.00
      683.40            0.00
      684.00            0.00
      684.60            0.00
      685.20            0.00
      685.80            0.00
      686.40            0.00
      687.00            0.00
      687.60            0.00
      688.20            0.00
      688.80            0.00
      689.40            0.00
      690.00            0.00
      690.60            0.00
      691.20            0.00
      691.80            0.00
      692.40            0.00
      693.00            0.00
      693.60            0.00
      694.20            0.00
      694.80            0.00
      695.40            0.00
      696.00            0.00
      696.60            0.00
      697.20            0.00
      697.80            0.00
      698.40            0.00
      699.00            0.00
      699.60            0.00
      700.20            0.00
      700.80            0.00
      701.40            0.00
      702.00            0.00
      702.60            0.00
      703.20            0.00
      703.80            0.00
      704.40            0.00
      705.00            0.00
      705.60            0.00
      706.20            0.00
      706.80            0.00
      707.40            0.00
      708.00            0.00
      708.60            0.00
      709.20            0.00
      709.80            0.00
      710.40            0.00
      711.00            0.00
      711.60            0.00
      712.20            0.00
      712.80            0.00
      713.40            0.00
      714.00            0.00
      714.60            0.00
      715.20            0.00
      715.80            0.00
      716.40            0.00
      717.00            0.00
      717.60            0.00
      718.20            0.00
      718.80            0.00
      719.40            0.00
      720.00            0.00
      720.60            0.00
      721.20            0.00
      721.80            0.00
      722.40            0.00
      723.00            0.00
      723.60            0.00
      724.20            0.00
      724.80            0.00
      725.40            0.00
      726.00            0.00
      726.60            0.00
      727.20            0.00
      727.80            0.00
      728.40            0.00
      729.00            0.00
      729.60            0.00
      730.20            0.00
      730.80            0.00
      731.40            0.00
      732.00            0.00
      732.60            0.00
      733.20            0.00
      733.80            0.00
      734.40            0.00
      735.00            0.00
      735.60            0.00
      736.20            0.00
      736.80            0.00
      737.40            0.00
      738.00            0.00
      738.60            0.00
      739.20            0.00
      739.80            0.00
      740.40            0.00
      741.00            0.00
      741.60            0.00
      742.20            0.00
      742.80            0.00
      743.40            0.00
      744.00            0.00
      744.60            0.00
      745.20            0.00
      745.80            0.00
      746.40            0.00
      747.00            0.00
      747.60            0.00
      748.20            0.00
      748.80            0.00
      749.40            0.00
      750.00            0.00
      750.60            0.00
      751.20            0.00
      751.80            0.00
      752.40            0.00
      753.00            0.00
      753.60            0.00
      754.20            0.00
      754.80            0.00
      755.40            0.00
      756.00            0.00
      756.60            0.00
      757.20            0.00
      757.80            0.00
      758.40            0.00
      759.00            0.00
      759.60            0.00
      760.20            0.00
      760.80            0.00
      761.40            0.00
      762.00            0.00
      762.60            0.00
      763.20            0.00
      763.80            0.00
      764.40            0.00
      765.00            0.00
      765.60            0.00
      766.20            0.00
      766.80            0.00
      767.40            0.00
      768.00            0.00
      768.60            0.00
      769.20            0.00
      769.80            0.00
      770.40            0.00
      771.00            0.00
      771.60            0.00
      772.20            0.00
      772.80            0.00
      773.40            0.00
      774.00            0.00
      774.60            0.00
      775.20            0.00
      775.80            0.00
      776.40            0.00
      777.00            0.00
      777.60            0.00
      778.20            0.00
      778.80            0.00
      779.40            0.00
      780.00            0.00
      780.60            0.00
      781.20            0.00
      781.80            0.00
      782.40            0.00
      783.00            0.00
      783.60            0.00
      784.20            0.00
      784.80            0.00
      785.40            0.00
      786.00            0.00
      786.60            0.00
      787.20            0.00
      787.80            0.00
      788.40            0.00
      789.00            0.00
      789.60            0.00
      790.20            0.00
      790.80            0.00
      791.40            0.00
      792.00            0.00
      792.60            0.00
      793.20            0.00
      793.80            0.00
      794.40            0.00
      795.00            0.00
      795.60            0.00
      796.20            0.00
      796.80            0.00
      797.40            0.00
      798.00            0.00
      798.60            0.00
      799.20            0.00
      799.80            0.00
      800.40            0.00
      801.00            0.00
      801.60            0.00
      802.20            0.00
      802.80            0.00
      803.40            0.00
      804.00            0.00
      804.60            0.00
      805.20            0.00
      805.80            0.00
      806.40            0.00
      807.00            0.00
      807.60            0.00
      808.20            0.00
      808.80            0.00
      809.40            0.00
      810.00            0.00
      810.60            0.00
      811.20            0.00
      811.80            0.00
      812.40            0.00
      813.00            0.00
      813.60            0.00
      814.20            0.00
      814.80            0.00
      815.40            0.00
      816.00            0.00
      816.60            0.00
      817.20            0.00
      817.80            0.00
      818.40            0.00
      819.00            0.00
      819.60            0.00
      820.20            0.00
      820.80            0.00
      821.40            0.00
      822.00            0.00
      822.60            0.00
      823.20            0.00
      823.80            0.00
      824.40            0.00
      825.00            0.00
      825.60            0.00
      826.20            0.00
      826.80            0.00
      827.40            0.00
      828.00            0.00
      828.60            0.00
      829.20            0.00
      829.80            0.00
      830.40            0.00
      831.00            0.00
      831.60            0.00
      832.20            0.00
      832.80            0.00
      833.40            0.00
      834.00            0.00
      834.60            0.00
      835.20            0.00
      835.80            0.00
      836.40            0.00
      837.00            0.00
      837.60            0.00
      838.20            0.00
      838.80            0.00
      839.40            0.00
      840.00            0.00
      840.60            0.00
      841.20            0.00
      841.80            0.00
      842.40            0.00
      843.00            0.00
      843.60            0.00
      844.20            0.00
      844.80            0.00
      845.40            0.00
      846.00            0.00
      846.60            0.00
      847.20            0.00
      847.80            0.00
      848.40            0.00
      849.00            0.00
      849.60            0.00
      850.20            0.00
      850.80            0.00
      851.40            0.00
      852.00            0.00
      852.60            0.00
      853.20            0.00
      853.80            0.00
      854.40            0.00
      855.00            0.00
      855.60            0.00
      856.20            0.00
      856.80            0.00
      857.40            0.00
      858.00            0.00
      858.60            0.00
      859.20            0.00
      859.80            0.00
      860.40            0.00
      861.00            0.00
      861.60            0.00
      862.20            0.00
      862.80            0.00
      863.40            0.00
      864.00            0.00
      864.60            0.00
      865.20            0.00
      865.80            0.00
      866.40            0.00
      867.00            0.00
      867.60            0.00
      868.20            0.00
      868.80            0.00
      869.40            0.00
      870.00            0.00
      870.60            0.00
      871.20            0.00
      871.80            0.00
      872.40            0.00
      873.00            0.00
      873.60            0.00
      874.20            0.00
      874.80            0.00
      875.40            0.00
      876.00            0.00
      876.60            0.00
      877.20            0.00
      877.80            0.00
      878.40            0.00
      879.00            0.00
      879.60            0.00
      880.20            0.00
      880.80            0.00
      881.40            0.00
      882.00            0.00
      882.60            0.00
      883.20            0.00
      883.80            0.00
      884.40            0.00
      885.00            0.00
      885.60            0.00
      886.20            0.00
      886.80            0.00
      887.40            0.00
      888.00            0.00
      888.60            0.00
      889.20            0.00
      889.80            0.00
      890.40            0.00
      891.00            0.00
      891.60            0.00
      892.20            0.00
      892.80            0.00
      893.40            0.00
      894.00            0.00
      894.60            0.00
      895.20            0.00
      895.80            0.00
      896.40            0.00
      897.00            0.00
      897.60            0.00
      898.20            0.00
      898.80            0.00
      899.40            0.00
      900.00            0.00
      900.60            0.00
      901.20            0.00
      901.80            0.00
      902.40            0.00
      903.00            0.00
      903.60            0.00
      904.20            0.00
      904.80            0.00
      905.40            0.00
      906.00            0.00
      906.60            0.00
      907.20            0.00
      907.80            0.00
      908.40            0.00
      909.00            0.00
      909.60            0.00
      910.20            0.00
      910.80            0.00
      911.40            0.00
      912.00            0.00
      912.60            0.00
      913.20            0.00
      913.80            0.00
      914.40            0.00
      915.00            0.00
      915.60            0.00
      916.20            0.00
      916.80            0.00
      917.40            0.00
      918.00            0.00
      918.60            0.00
      919.20            0.00
      919.80            0.00
      920.40            0.00
      921.00            0.00
